"Metric,Learner,None,RU,RO,WERCS,GN,SMOTER,SMOGN,WSMOTER,G-SMOTER,DAVID,TVAE,CTGAN,CopGAN,TabDDPM,KNNOR-REG,CARTGen-IR"
"RMSE,RF,2,0,1,0,0,0,0,3,0,0,0,0,0,0,2,7"
"RMSE,SVR,1,0,4,0,0,0,0,3,1,0,0,0,0,0,1,5"
"RMSE,XGBoost,1,0,1,0,0,0,0,3,3,0,0,0,0,0,0,7"
"RW-RMSE,RF,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,8"
"RW-RMSE,SVR,0,0,4,3,0,0,1,1,0,0,0,0,0,0,0,6"
"RW-RMSE,XGBoost,1,0,1,1,0,0,0,3,2,0,0,0,0,0,0,7"
"SERA,RF,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,8"
"SERA,SVR,0,0,4,2,0,0,2,2,0,0,0,0,0,0,0,5"
"SERA,XGBoost,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,9"
"DW-RMSE,RF,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,10"
"DW-RMSE,SVR,0,0,3,2,0,0,0,4,1,0,0,0,0,0,0,5"
"DW-RMSE,XGBoost,1,0,1,0,1,0,0,5,1,0,0,0,0,0,0,6"
"DW-SERA,RF,0,0,1,0,0,0,1,4,0,0,0,0,0,0,1,8"
"DW-SERA,SVR,0,0,3,0,1,0,0,5,2,0,0,0,0,0,0,4"
"DW-SERA,XGBoost,1,0,1,0,0,1,0,4,2,0,0,0,0,0,0,6"
