varying_param_name,varying_param_value,density_method,RMSE,RW-RMSE,SERA,DW-RMSE,DW-SERA
alpha,0.1,relevance,2.28341416659667,2.9517965597410742,2581.724895399169,3.017628335580003,3415.3230627114976
alpha,0.1,denseweight,2.2638689427353142,2.9670157307491953,2608.322630490017,3.0370484753714178,3423.9477796763604
alpha,0.10290290290290291,relevance,2.265466442279839,2.949114119975387,2577.128595451352,3.000034382094332,3381.9537611742135
alpha,0.10290290290290291,denseweight,2.2509272235653404,2.9449958237225107,2569.662443970001,3.005161410787299,3363.636329613562
alpha,0.10580580580580581,relevance,2.28216431092092,2.913902288285844,2515.5187058601905,2.9783136064509814,3360.0454175632717
alpha,0.10580580580580581,denseweight,2.254831015185661,2.95096022200372,2579.6079864226613,3.027394198315031,3392.711097146399
alpha,0.10870870870870872,relevance,2.277342781621593,2.9701815596021093,2613.8858122400425,3.027988782280332,3421.583131809188
alpha,0.10870870870870872,denseweight,2.251352012517978,2.919789939768027,2525.7668639795306,2.983775867044093,3342.935528334194
alpha,0.11161161161161162,relevance,2.2675481884333815,2.907416730783181,2504.3748597534136,2.9668026723446292,3331.9677625923428
alpha,0.11161161161161162,denseweight,2.236641957293908,2.9212038838852594,2528.1682985980115,2.9987986421654877,3364.1520425226395
alpha,0.11451451451451453,relevance,2.257619761657328,2.900960120835922,2493.531718717557,2.980250089998833,3317.459719744862
alpha,0.11451451451451453,denseweight,2.271420664110314,2.9448671936647397,2569.5556324964678,3.0300470033269677,3437.738598327964
alpha,0.11741741741741743,relevance,2.2692225443019343,2.9224490056020023,2530.249172909782,3.001184344811308,3366.710042179106
alpha,0.11741741741741743,denseweight,2.2739672874349943,2.988063614106302,2645.4100959306666,3.056947796019253,3475.920357013551
alpha,0.12032032032032032,relevance,2.2891979657053896,2.9774751969491717,2626.3560920484706,3.0498344757821125,3472.814117423571
alpha,0.12032032032032032,denseweight,2.2546312201728105,2.9328078057314633,2548.614402611454,3.004794504224282,3364.1948972606706
alpha,0.12322322322322322,relevance,2.2770030582601013,2.943502496208443,2566.690826409975,3.013219183832975,3390.9408352015466
alpha,0.12322322322322322,denseweight,2.2537929670602264,2.931125640402799,2545.652691508294,3.0032164630704257,3358.1743827737955
alpha,0.12612612612612614,relevance,2.2950166268300918,2.952008580341126,2581.8612013047336,3.0267129963162924,3433.37501204038
alpha,0.12612612612612614,denseweight,2.2684963685188997,2.9714392851724662,2615.8413947119434,3.0392258772805176,3435.1170647610684
alpha,0.12902902902902902,relevance,2.2883926393472893,2.965257894133703,2605.0005965702976,3.0332301517441382,3436.7749578742
alpha,0.12902902902902902,denseweight,2.2335236241925065,2.917391862430858,2521.820742317359,2.9828597232051486,3307.9144625779086
alpha,0.13193193193193192,relevance,2.2311554269916702,2.8467366907950042,2401.137180398591,2.929547181349556,3214.977952423677
alpha,0.13193193193193192,denseweight,2.290041356096573,2.9960700039957984,2659.2884252430304,3.069434810728533,3478.804024558904
alpha,0.13483483483483483,relevance,2.272531995804566,2.921102584704504,2528.1731803728912,2.9847371643402956,3386.545578933701
alpha,0.13483483483483483,denseweight,2.218880704256912,2.940811506387126,2562.4324256644295,2.999355140735707,3318.003247382417
alpha,0.13773773773773773,relevance,2.2681476777302128,2.917043690496129,2521.0573042114333,2.9904368182726184,3342.2084283460567
alpha,0.13773773773773773,denseweight,2.274282939487269,2.9595565590973227,2595.082525865326,3.0286031327922087,3420.131757623011
alpha,0.14064064064064064,relevance,2.2383633603152306,2.8990838009591706,2489.998870011815,2.9706553393266026,3297.4644196799813
alpha,0.14064064064064064,denseweight,2.2470882853135064,2.9685903713338115,2611.043069812507,3.030006969481244,3392.8618456035656
alpha,0.14354354354354354,relevance,2.2833016338317917,2.9246848354203947,2534.535103270073,2.99717683479586,3371.0880158571986
alpha,0.14354354354354354,denseweight,2.2300983934658016,2.9228609717791993,2531.5446684907056,2.983027634344979,3315.8926607999547
alpha,0.14644644644644644,relevance,2.264185134226982,2.89614786764946,2484.955583676882,2.969535446626163,3338.179847973528
alpha,0.14644644644644644,denseweight,2.2573650108404784,2.9556114697816795,2588.400182527587,3.0284893248230347,3380.2705927717393
alpha,0.14934934934934935,relevance,2.21885530696973,2.8365487097970044,2383.9053347746935,2.9074213867146974,3180.3099276124326
alpha,0.14934934934934935,denseweight,2.275433581776418,2.985134015353548,2640.334473121294,3.0422096802000627,3451.5298512674617
alpha,0.15225225225225225,relevance,2.2564373782641622,2.912174635132603,2512.8212948245377,2.9915291247813203,3366.309237233793
alpha,0.15225225225225225,denseweight,2.262135210502291,2.9850076448488623,2640.253966637186,3.042677821440178,3426.960624676971
alpha,0.15515515515515516,relevance,2.2343105629571296,2.8633790797001706,2429.4828980843567,2.9512328426943997,3282.2702035403945
alpha,0.15515515515515516,denseweight,2.2855812414415824,2.9630435231607652,2600.84880296535,3.0404665250114102,3432.5775532472762
alpha,0.15805805805805806,relevance,2.2150273394922846,2.8560565651844145,2416.9417928325206,2.9205877294384393,3181.052122300009
alpha,0.15805805805805806,denseweight,2.2577535826961936,2.9585322031927253,2593.512653615765,3.0264998100697715,3364.428668889455
alpha,0.16096096096096096,relevance,2.241408871973479,2.9132476641898375,2514.48419966097,2.9791855018483964,3331.0539626443956
alpha,0.16096096096096096,denseweight,2.2717735825924055,2.9606970221367503,2597.4576640160826,3.035101835895425,3431.4623543954262
alpha,0.16386386386386387,relevance,2.3031993643030297,2.9551706056161238,2587.286253603189,3.0399287135015096,3461.9234199572893
alpha,0.16386386386386387,denseweight,2.288263347653388,2.970014015377385,2613.409783185613,3.055284825893212,3468.91855778951
alpha,0.16676676676676677,relevance,2.2674320182697474,2.918903946053939,2524.405756776712,2.987379828041052,3331.1536429681555
alpha,0.16676676676676677,denseweight,2.2419546507781187,2.9417642909971224,2563.971681192965,3.0153058084224797,3372.166403265081
alpha,0.16966966966966968,relevance,2.2685887151574775,2.9274130247137284,2539.0531854019055,2.998879935787921,3369.4658285312466
alpha,0.16966966966966968,denseweight,2.2498577932778216,2.959185156238461,2594.817377758988,3.031727668355919,3394.864877918093
alpha,0.17257257257257258,relevance,2.26873370026964,2.9216189578578735,2529.0862362491425,2.9958250727869586,3340.411987354597
alpha,0.17257257257257258,denseweight,2.2627631272731934,2.9654565969430604,2605.6735653735745,3.0372866432250833,3425.094669656892
alpha,0.17547547547547548,relevance,2.2429404499277337,2.923849969153478,2532.846604674734,2.9932933470363983,3314.5974938386803
alpha,0.17547547547547548,denseweight,2.227031101597056,2.917367680988085,2521.590970021532,2.9846291580688638,3314.5323309962278
alpha,0.1783783783783784,relevance,2.288084924092514,2.9523843543304467,2582.6469261405427,3.008186164652572,3427.2764804144003
alpha,0.1783783783783784,denseweight,2.2479502616604496,2.9577157104788734,2591.7610516115233,3.0341621774633625,3388.3072734239004
alpha,0.1812812812812813,relevance,2.2606134428932596,2.9123068767528233,2513.023193809352,2.9755344211436934,3350.408148436647
alpha,0.1812812812812813,denseweight,2.2419357554536,2.959862809335432,2595.681140579881,3.038167703254328,3406.312919684111
alpha,0.1841841841841842,relevance,2.276828055146597,2.9750609301936137,2622.9805282510197,3.0384239845502097,3451.5259062128944
alpha,0.1841841841841842,denseweight,2.285351379446461,2.9995780766046707,2665.7467301496686,3.0742340806575954,3510.3468342051974
